2018-05-10,今日はいいことありそう
2018-05-11,おみくじが当たった嬉しいです
2018-05-12,美味しいものが食べられた
2018-05-13,明日は映画を見に行く約束をした
2018-05-14,たこ焼き美味しい。映画面白かった。
2018-05-15,おみくじを引いたけど、大凶だった。ショック。
2018-05-16,河原を散歩していたらペンギンがいた。びっくり。
2018-05-17,お好み焼きが美味しいな
2018-05-18,ツナサンドも美味しい
2018-05-19,朝日を見たら気持ちよかった
2018-05-20,10キロ走った。疲れた?。
2018-05-21,"今日は祖母と銀座にでかけた。
楽しかった。"
2018-05-23,"今日は母に花をプレゼントした。
喜んでくれた。"
2018-05-24,明日は運動会。頑張ろう。
2018-05-25,今日はいい天気だった。
2018-05-26,暑かった
2018-05-27,豪雨だった
2018-05-28,"いちごを食べた。
美味しかった。"
2018-05-29,百聞は一見に如かずの日だった。
2018-05-30,今年の夏は暑そう。
2018-05-31,明日は早起きしないといけない。
2018-06-01,一日一善
2018-06-02,明日の課題の予習をしてから寝よう
2018-06-03,今日は気になった本が見つかったので、衝動買いしてしまった。
2018-06-04,財布をレストランに忘れてきた。
2018-06-05,牛乳を買って帰る。
2018-06-06,歯医者は6/20の17:00に予約した。
2018-06-07,7/1に旅行にいく。
2018-06-08,今日食べたカレーは美味しかった
2025-04-20,TEST1
2025-04-20,TEST2
